func,v
E,f,1223.49
E,f,1193.88
E,f,1162.75
E,f,1130.1
E,f,1095.94
E,f,1060.26
E,f,1023.05
E,f,984.333
E,f,944.095
E,f,902.338
E,f,859.062
E,f,814.268
E,f,767.956
E,f,720.125
E,f,670.776
E,f,619.909
E,f,567.522
E,f,513.618
E,f,458.195
E,f,401.254
E,f,342.794
E,f,282.816
E,f,221.319
E,f,158.304
E,f,93.7703
E,f,27.7183
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,0
E,f,3.82676
E,f,71.3972
E,f,137.449
E,f,201.983
E,f,264.998
E,f,326.494
E,f,386.473
E,f,444.933
E,f,501.874
E,f,557.297
E,f,611.201
E,f,663.587
E,f,714.455
E,f,763.804
E,f,811.635
E,f,857.947
E,f,902.741
E,f,946.017
E,f,987.774
E,f,1028.01
E,f,1066.73
E,f,1103.93
E,f,1139.62
E,f,1173.78
E,f,1206.43
E,f,1237.56
